date,time_block,bed,total_patient_volume
1/1/2021,0,247,167.0
1/1/2021,4,247,167.0
1/1/2021,8,247,167.0
1/1/2021,12,247,167.0
1/1/2021,16,247,154.0
1/1/2021,20,247,157.0
1/2/2021,0,247,157.0
1/2/2021,4,247,158.0
1/2/2021,8,247,158.0
1/2/2021,12,247,158.0
1/2/2021,16,247,148.0
1/2/2021,20,247,156.0
1/3/2021,0,247,165.0
1/3/2021,4,247,167.0
1/3/2021,8,247,166.0
1/3/2021,12,247,165.0
1/3/2021,16,247,162.0
1/3/2021,20,247,162.0
1/4/2021,0,247,168.0
1/4/2021,4,247,170.0
1/4/2021,8,247,171.0
1/4/2021,12,247,179.0
1/4/2021,16,247,180.0
1/4/2021,20,247,191.0
1/5/2021,0,247,196.0
1/5/2021,4,247,201.0
1/5/2021,8,247,203.0
1/5/2021,12,247,203.0
1/5/2021,16,247,194.0
1/5/2021,20,247,197.0
1/6/2021,0,247,199.0
1/6/2021,4,247,206.0
1/6/2021,8,247,207.0
1/6/2021,12,247,208.0
1/6/2021,16,247,194.0
1/6/2021,20,247,196.0
1/7/2021,0,247,200.0
1/7/2021,4,247,202.0
1/7/2021,8,247,204.0
1/7/2021,12,247,203.0
1/7/2021,16,247,196.0
1/7/2021,20,247,200.0
1/8/2021,0,247,205.0
1/8/2021,4,247,207.0
1/8/2021,8,247,209.0
1/8/2021,12,247,208.0
1/8/2021,16,247,195.0
1/8/2021,20,247,189.0
1/9/2021,0,247,190.0
1/9/2021,4,247,194.0
1/9/2021,8,247,196.0
1/9/2021,12,247,200.0
1/9/2021,16,247,184.0
1/9/2021,20,247,186.0
1/10/2021,0,247,190.0
1/10/2021,4,247,193.0
1/10/2021,8,247,194.0
1/10/2021,12,247,193.0
1/10/2021,16,247,193.0
1/10/2021,20,247,195.0
1/11/2021,0,247,197.0
1/11/2021,4,247,201.0
1/11/2021,8,247,201.0
1/11/2021,12,247,207.0
1/11/2021,16,247,200.0
1/11/2021,20,247,209.0
1/12/2021,0,247,214.0
1/12/2021,4,247,214.0
1/12/2021,8,247,214.0
1/12/2021,12,247,209.0
1/12/2021,16,247,181.0
1/12/2021,20,247,181.0
1/13/2021,0,247,183.0
1/13/2021,4,247,186.0
1/13/2021,8,247,187.0
1/13/2021,12,247,187.0
1/13/2021,16,247,180.0
1/13/2021,20,247,176.0
